name,album,artist,release_date,length,popularity,spotify_url
Challa Gaali Thakuthunna,Yevade Subramanyam,Radhan,2015-02-21,245498,50,https://open.spotify.com/track/1ixAWv7Y8ZJa32zdnRLZru
Ninnu Chuse Anandamlo,Gang Leader (Original Motion Picture Soundtrack),Anirudh Ravichander,2019-09-05,293000,56,https://open.spotify.com/track/16RigX2qPBrjju5ddZv1X6
Naaloni Nuvvu Neeloni Nenu,Needi Naadhi Oke Katha,Suresh Bobbili,2021-03-07,206604,0,https://open.spotify.com/track/6sMTVcrg8EdL9tMcgyzYZh
Inkem Inkem Inkem Kaavaale,Geetha Govindam,Gopi Sundar,2018,266715,64,https://open.spotify.com/track/5JnXwEckWO0oFijOyTZDLf
Pillaa Raa,RX 100 (Original Motion Picture Soundtrack),Chaitan Bharadwaj,2018-06-29,237580,0,https://open.spotify.com/track/47hP2BJPCOMyYKT5WQ9evZ
Samajavaragamana,Ala Vaikunthapurramuloo,Thaman S,2019-09-28,219818,60,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
Nammavemo,Parugu,Mani Sharma,2008-04-05,286639,58,https://open.spotify.com/track/5DN8dF1Q0K8G6pgCQjqVvF
Nenu Nuvvantu,Orange,Harris Jayaraj,2010-10-25,287823,65,https://open.spotify.com/track/4swLsRDd6VI5BB1dej03L3
Poolane Kunukeyamantaa,I - Manoharudu (Original Motion Picture Soundtrack),A.R. Rahman,2014-12-30,308106,58,https://open.spotify.com/track/4ZXsuOSu0vWtWMfmf1Gl3j
Mallieswarivey,Yuvasena,Jassie Gift,2004-01-01,269841,58,https://open.spotify.com/track/7lSYoKmtmay3y4wMO6nLrj
Vachindamma,Geetha Govindam,Gopi Sundar,2018,250402,56,https://open.spotify.com/track/6obKaXHU2avqfLZFPjGm4K
Yenti Yenti,Geetha Govindam,Gopi Sundar,2018,199200,53,https://open.spotify.com/track/37LmFlPnpsBISJjNvqbUkT
"Emo Emo - From ""Raahu""","Emo Emo (From ""Raahu"")",Praveen Lakkaraju,2019-10-30,242412,56,https://open.spotify.com/track/1m6R9gLcwA4E9ecWpo4qsY
Hoyna Hoyna,Gang Leader (Original Motion Picture Soundtrack),Anirudh Ravichander,2019-09-05,271937,60,https://open.spotify.com/track/7mNQwVYgoB3mtjkjCKsbXM
Tharagathi Gadhi - Telugu,Colour Photo,Kala Bhairava,2020-08-27,213437,57,https://open.spotify.com/track/7El6rXuDiiMNreCDv5QKBD
Nee Kannu Neeli Samudram - Telugu,Uppena,Devi Sri Prasad,2020-03-02,312374,56,https://open.spotify.com/track/1C9SYGI40nNYh98gN87Fwr
"Baby Won't You Tell Me (From ""Saaho"")","Baby Won't You Tell Me (From ""Saaho"")",Shweta Mohan,2019-08-26,262779,50,https://open.spotify.com/track/0wOu2i0WEwVl6zvUvOx6L6
Ay Pilla - Telugu,Love Story,Pawan Ch,2020-03-12,253773,55,https://open.spotify.com/track/5nVFeACm96rucybpDAjfK5
Manasa Manasa - Telugu,Most Eligible Bachelor,Gopi Sundar,2020-03-02,253411,52,https://open.spotify.com/track/4kEd65XC9mEFTiscE6f6N9
Prema O Premaa,NGK (Telugu) [Original Motion Picture Soundtrack],Yuvan Shankar Raja,2019-04-30,270000,54,https://open.spotify.com/track/2oMVPX0asvUfRfap0iEmXv
Arere Yekkada,Nenu Local (Original Motion Picture Soundtrack),Devi Sri Prasad,2017-01-13,236617,0,https://open.spotify.com/track/5icJ3lEvL73C07mJd4s8nu
"Ye Chota Nuvvunna (From ""Saaho"") (feat. Tulsi Kumar, Haricharan Seshadri)","Ye Chota Nuvvunna (From ""Saaho"")",Guru Randhawa,2019-08-02,194551,55,https://open.spotify.com/track/499rs8fMaltXk2BOlq9P0m
,,Various Artists,0000,0,0,https://open.spotify.com/track/2QYaPFQkOcUZYfylyJHiH6
Nuvvunte Naa Jathagaa,I - Manoharudu (Original Motion Picture Soundtrack),A.R. Rahman,2014-12-30,352613,61,https://open.spotify.com/track/5dG3KI5rIUwiUQNNr3Y1to
Meghaalu Lekunna,Kumari 21 F (Original Motion Picture Soundtrack),Devi Sri Prasad,2015-11-02,299290,0,https://open.spotify.com/track/4hgbMZJ5JXOIxZtHhfrL1n
Telusaa Telusaa,Sarrainodu,Thaman S,2016-04-01,264544,53,https://open.spotify.com/track/1jz0PUb4rChtZUk4Itn1Co
Yemaindho Teliyadu Naaku,MCA (Original Motion Picture Soundtrack),Devi Sri Prasad,2017-12-11,232767,0,https://open.spotify.com/track/4Cz7b7uNlUreVMdClhDMtO
Ela Ela Naalo,Panjaa (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2011,305925,0,https://open.spotify.com/track/6ygDZq4V1SWkAqXHMmQvz2
Inka Edho,Darling (Original Motion Picture Soundtrack),G. V. Prakash,2010-04-13,315493,63,https://open.spotify.com/track/0WM0NpFIZg6JhgneUyU5tl
"Maate Vinadhuga - From ""Taxiwaala""","Maate Vinadhuga (From ""Taxiwaala"")",Sid Sriram,2018-10-26,296220,0,https://open.spotify.com/track/3edo3q894PZFxsbDqqsm6r
"Choosi Chudangane - From ""Chalo""","Choosi Chudangane (From ""Chalo"")",Anurag Kulkarni,2017-12-02,202111,0,https://open.spotify.com/track/1Tf3RCP9Gs6CghGHeM3I7h
Madhurame,Arjun Reddy,Radhan,2017-04-30,343214,53,https://open.spotify.com/track/4sbR8sUkAe6tJTooAQauEe
Uppenantha,Aarya - 2 (Original Motion Picture Soundtrack),Devi Sri Prasad,2009-10-30,327640,64,https://open.spotify.com/track/57zEYntUat0ofbFpoicN26
Crazy Feeling,Nenu Sailaja (Original Motion PIcture Soundtrack),Devi Sri Prasad,2015-12-21,209961,0,https://open.spotify.com/track/6CtrkXMad3ZtmYiOtKfI0t
Feel My Love,Aarya,Devi Sri Prasad,2004-04-19,299893,57,https://open.spotify.com/track/4EjO3ELtQkbOBox5adad6a
Nuvvunte,Aarya,Devi Sri Prasad,2004-04-19,311960,58,https://open.spotify.com/track/7A3HdpivKNGgTW2Bo3udV8
Nuvvu Nenu,Gangothri,M. M. Keeravaani,2003-03-28,291247,46,https://open.spotify.com/track/54XqmpDTyCx2rdKOic5zon
Chilipiga,Orange,Harris Jayaraj,2010-10-25,328617,57,https://open.spotify.com/track/2mUvMLSJmlo5iI8PMLRRJz
,,Various Artists,0000,0,0,https://open.spotify.com/track/1YA5XoTcKyrpQ6cW6XsAfB
Niharika,Oosaravelli,Devi Sri Prasad,2011-09-16,257412,57,https://open.spotify.com/track/1yVEpXyOeFB0obLo5sTF8F
Maayera,Sainikudu,Harris Jayaraj,2006-10-21,350026,49,https://open.spotify.com/track/4ZI79kwi84DJcbiYFygJwW
Chali Chaliga,Mr Perfect,Devi Sri Prasad,2011-03-18,297130,56,https://open.spotify.com/track/0JLLcOdBUKfDtzY0seXQHC
Idhedho Bagundhe,Mirchi,Devi Sri Prasad,2013-01-05,266760,63,https://open.spotify.com/track/4AuRsGcSsNqslLywUCWhAG
Cheliya,Kushi,Mani Sharma,2001-03-27,340331,58,https://open.spotify.com/track/0hwlEWBrraTWI9PTNzG0RJ
Aaduvari,Kushi,Mani Sharma,2001-03-27,180876,0,https://open.spotify.com/track/1pHttWyIwIbFu9vVjsjOUr
Emantaro,Gudumba Shankar,Mani Sharma,2004-08-09,378279,53,https://open.spotify.com/track/7GRBX2LsuIYGPzjZ9ggnES
Akasam Ammayaithe,Gabbar Singh,Devi Sri Prasad,2012-04-15,291188,59,https://open.spotify.com/track/14I31bbtEZVADFi1uCcxcu
Pedhavi Daatani,Thammudu,Ramana Gogula,1999-07-15,276767,58,https://open.spotify.com/track/6OlRtuNOOPFcXdBww7A3Sq
,,Various Artists,0000,0,0,https://open.spotify.com/track/4GLnuClXKEuZqIrl1UXYuV
Evare,Premam,Rajesh Murugesan,2016-08-18,309662,59,https://open.spotify.com/track/1NXSmIEOulY9u4TxwuSUoe
Vellipomaake,Saahasam Swaasaga Saagipo,A.R. Rahman,2016-05-22,261368,59,https://open.spotify.com/track/6z15tFRtCyiSorSGaKLJeu
Priyathama Priyathama,Majili,Gopi Sundar,2019-03-08,245885,50,https://open.spotify.com/track/5TzBiX6ACrnGCgcVbP0ZHd
Arere Aakasham,Colour Photo,Kala Bhairava,2020-08-27,206250,42,https://open.spotify.com/track/4a4Yd4iZnolhB1lSgrT1vT
Devatha,Potugadu,Achu,2013-08-25,221118,56,https://open.spotify.com/track/29Kc7RQUikxuxjkRYa39Ih
Adbhutam,Lover,Sai Karthik,2018-06-24,216000,43,https://open.spotify.com/track/5SrHH1OwkEFGnV0KMeRmEN
Ee Hridayam,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,2010-01-29,329320,58,https://open.spotify.com/track/7wFL4hNlhotHNU6qZi9bHR
,,Various Artists,0000,0,0,https://open.spotify.com/track/4GLnuClXKEuZqIrl1UXYuV
Usure Poyene,Villain (Original Motion Picture Soundtrack),A.R. Rahman,2010-05-14,363266,46,https://open.spotify.com/track/6fu3TjL7ylRMd8l48IuwjN
Yemito,Andala Rakshasi,Radhan,2010-12-03,268826,0,https://open.spotify.com/track/2QhpL0cdNWdrvd6g22ePVu
,,Various Artists,0000,0,0,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
Choododde Nannu,Aaru,Devi Sri Prasad,2006-01-01,261139,59,https://open.spotify.com/track/1RCrBXLN9cn4WmbpT9uJGJ
,,Various Artists,0000,0,0,https://open.spotify.com/track/3PAC15iDIHk7IWD8ShSgWh
Ne Ne Nani Ne,Eega (Original Motion Picture Soundtrack),M. M. Keeravaani,2012-04-28,251520,56,https://open.spotify.com/track/3xVtrBHl1fxYGouE16ep59
Andham Andham,Vetadu Ventadu (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2012-12-24,290000,50,https://open.spotify.com/track/3lTh8miNqNpJdEQl8WbnLE
Gelupu Thalupule,Teenmaar,Mani Sharma,2011-03-21,317544,51,https://open.spotify.com/track/2Cj0kdPCNWSqMApIHg8oh6
Prema Vennela,Chitralahari (Original Motion Picture Soundtrack),Devi Sri Prasad,2019-04-08,217875,52,https://open.spotify.com/track/5mBwJ0Dl4GSoXwbATPtcsj
Oh! Shanthi Shanthi,Surya S/o Krishnan (Original Motion Picture Soundtrack),Harris Jayaraj,2008-10-31,182373,45,https://open.spotify.com/track/2Lu03NYllO5uk4R9gvNZFJ
Monna Kanipinchavu,Surya S/o Krishnan (Original Motion Picture Soundtrack),Harris Jayaraj,2008-10-31,332013,61,https://open.spotify.com/track/4rc1WGmRJ2CsHXTmrBu3gH
Naaloney Pongaynu,Surya S/o Krishnan (Original Motion Picture Soundtrack),Harris Jayaraj,2008-10-31,372600,59,https://open.spotify.com/track/2bageubuN1HjNZwTNlyh0v
Gusa Gusa Lade,Gentleman,Mani Sharma,2016-05-20,237474,55,https://open.spotify.com/track/3Z8mfS2fQweEvT9QW9FFGx
Nijame Ne Chebutunna,Ooru Peru Bhairavakona,Shekar Chandra,2023-03-31,214997,57,https://open.spotify.com/track/37KgM3qNYvDdMC9m6IvBOf
Yetu Pone,Dear Comrade [TELUGU],Justin Prabhakaran,2019-07-23,249023,54,https://open.spotify.com/track/5bf5PpAQmxCbXBcRQa5R3C
Taanu Nenu,Saahasam Swaasaga Saagipo,A.R. Rahman,2016-05-22,253942,49,https://open.spotify.com/track/1Wc9z0B5BaA3dpLUxEbHZb
Em Chessavo,Yagnam,Mani Sharma,2004-07-02,337000,42,https://open.spotify.com/track/6O2XwlKrNH19IoUwSldjwF
Hey Rangule,Amaran (Telugu),G. V. Prakash,2024-11-26,229833,44,https://open.spotify.com/track/3Y6xMf1Wqod2tSc1c9Tp9v
Vendiminnu Neevanta,Amaran (Telugu),G. V. Prakash,2024-11-26,213333,39,https://open.spotify.com/track/7lBQCUpfZb6Hph7tlQFxtD
Usure Usure,Amaran (Telugu),G. V. Prakash,2024-11-26,210000,39,https://open.spotify.com/track/5vry3pUhy8Vdgw0VQ9WfLB
Devudu Karunisthadani,Prema Katha,Sandeep Chowta,1999-04-15,299195,47,https://open.spotify.com/track/1MlM9FuR9WEfxC0mQcKjHK
Evarulerani,Ek Niranjan,Mani Sharma,2009-09-26,271866,47,https://open.spotify.com/track/6TSVpvJpxIc8R3OEgW4kUm
